角色票力排行榜 男子组
序号: [ 日期 | 小组名次 | 票数 ] 人物名称 - 作品名称
276: [ 2015-12-05 | 11 | 06002 ] 紫原敦 - 黑子的篮球 第三季
277: [ 2015-11-13 | 09 | 05990 ] 西尾锦 - 东京食尸鬼 第二季
278: [ 2015-11-24 | 07 | 05985 ] 高尾和成 - 黑子的篮球 第三季
279: [ 2015-11-13 | 10 | 05943 ] 樱友藏(小丸子的爷爷) - 樱桃小丸子 第二季
280: [ 2015-11-23 | 08 | 05923 ] 马雷·莫莫罗·菲欧雷 - OVERLORD
281: [ 2015-11-07 | 12 | 05886 ] 戈尔道夫·奥欧拉 - 六花的勇者
282: [ 2015-11-06 | 10 | 05811 ] 龙己 - 我家浴缸的二三事
283: [ 2015-11-24 | 08 | 05767 ] 泷升 - 吹响！上低音号
284: [ 2015-11-24 | 09 | 05757 ] 须佐之男 - 斩·赤红之瞳
285: [ 2015-12-02 | 08 | 05718 ] 舞子集 - 伪恋 第二季
286: [ 2015-10-31 | 09 | 05686 ] 雪村透 - 青春×机关枪
287: [ 2015-11-08 | 09 | 05670 ] 羽柴 - 乱步奇谭 Game of Laplace
288: [ 2015-11-26 | 06 | 05645 ] 世修 - 哆啦A梦
289: [ 2015-11-09 | 08 | 05632 ] 相座武士 - 四月是你的谎言
290: [ 2015-12-01 | 07 | 05596 ] 赤林海月 - 无头骑士异闻录×2 承
291: [ 2015-11-03 | 09 | 05575 ] 伊集院响 - 纯情罗曼史3
292: [ 2015-11-28 | 09 | 05549 ] 平和岛幽 - 无头骑士异闻录×2 承
293: [ 2015-11-09 | 09 | 05541 ] 制作人(武内骏辅) - 偶像大师 灰姑娘女孩
294: [ 2015-11-04 | 09 | 05517 ] 伊万·布拉金斯基 - 黑塔利亚 第六季
295: [ 2015-11-05 | 08 | 05463 ] 春日新 - 七人魔法使
296: [ 2015-11-07 | 13 | 05446 ] 大国主 - 元气少女缘结神 第二季
297: [ 2015-11-01 | 05 | 05415 ] 路德维希·贝什米特 - 黑塔利亚 第六季
298: [ 2015-11-16 | 05 | 05398 ] 白羊座穆 - 圣斗士星矢 黄金魂
