每日晋级数据 TOP8
2015-12-05 晋级数据 TOP8 女子组 (总票数: 129943)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 03 | 17098 | 15.7% ] 榛名 - 舰队collection
[ 04 | 15884 | 14.6% ] 七条天空 - 妄想学生会OVA
[ 05 | 13727 | 12.6% ] 田所惠 - 食戟之灵
[ 06 | 07919 |  7.3% ] 诺艾尔 - 天体的秩序
[ 07 | 06878 |  6.3% ] 栉川鸠子 - 日常系的异能战斗
[ 08 | 05867 |  5.4% ] 美缀绫子 - Fate/stay night [UBW]

2015-11-18 晋级数据 TOP8 男子组 (总票数: 102847)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 22112 | 21.5% ] 五河士道 - 约会大作战2 TV未放送
[ 02 | 18578 | 18.1% ] 孙悟天 - 龙珠改 魔人布欧篇
[ 03 | 16153 | 15.7% ] 梅利奥达斯 - 七大罪
[ 04 | 12251 | 11.9% ] 亚门钢太朗 - 东京食尸鬼 第二季
[ 05 | 09931 |  9.7% ] 雾岛绚都 - 东京食尸鬼 第二季
[ 06 | 09642 |  9.4% ] 处女座沙加 - 圣斗士星矢 黄金魂
[ 07 | 07115 |  6.9% ] 穆罕默德·阿布德尔 - JOJO的奇妙冒险 星尘斗士 埃及篇
[ 08 | 07065 |  6.9% ] 月见草胧 - 没有黄段子存在的无聊世界

2015-11-17 晋级数据 TOP8 女子组 (总票数: 103156)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
